全 部,#genre#
中视购物,rtsp://10.11.187.39/PLTV/88888888/224/3221226102/380451565.smil
书画,rtsp://10.11.187.39/PLTV/88888888/224/3221225920/10000100000000060000000003039887_0.smil
CETV-1（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225585/10000100000000060000000000915791_0.smil
聚鲨环球精选,rtsp://10.11.187.39/PLTV/88888888/224/3221225852/10000100000000060000000002605429_0.smil
快乐购,rtsp://10.11.187.39/PLTV/88888888/224/3221225884/10000100000000060000000002723581_0.smil
天元围棋,rtsp://10.11.187.39/PLTV/88888888/224/3221225896/10000100000000060000000003039875_0.smil
环球奇观,rtsp://10.11.187.39/PLTV/88888888/224/3221225926/10000100000000060000000003039890_0.smil
汽摩,rtsp://10.11.187.39/PLTV/88888888/224/3221225930/10000100000000060000000003039892_0.smil
金鹰纪实（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225948/10000100000000060000000003050164_0.smil
CCTV-卫生健康（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221226136/454230037.smil
CCTV-第一剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225936/10000100000000060000000003050158_0.smil
CCTV-怀旧剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225938/10000100000000060000000003050159_0.smil
CCTV-风云音乐（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225940/10000100000000060000000003050160_0.smil
CCTV-世界地理（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225946/10000100000000060000000003050163_0.smil
CCTV-风云剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225942/10000100000000060000000003050161_0.smil
中央新影-老故事,rtsp://10.11.187.39/PLTV/88888888/224/3221225924/10000100000000060000000003039889_0.smil
中央新影-中学生,rtsp://10.11.187.39/PLTV/88888888/224/3221225934/10000100000000060000000003039894_0.smil
遵义-综合,rtsp://10.11.187.39/PLTV/88888888/224/3221225679/10000100000000060000000002673165_0.smil
遵义-公共,rtsp://10.11.187.39/PLTV/88888888/224/3221225862/10000100000000060000000002673188_0.smil
遵义-都市,rtsp://10.11.187.39/PLTV/88888888/224/3221225681/10000100000000060000000002673166_0.smil
VSPN全电竞,rtsp://10.11.187.39/PLTV/88888888/224/3221225758/10000100000000060000000000964875_0.smil
桐梓综合,rtsp://10.11.187.39/PLTV/88888888/224/3221225683/10000100000000060000000002675851_0.smil
发现之旅,rtsp://10.11.187.39/PLTV/88888888/224/3221225916/10000100000000060000000003039885_0.smil
直播活动专用,rtsp://10.11.187.39/PLTV/88888888/224/3221225637/10000100000000060000000001569989_0.smil
